filters,time to filter, std dev, time to playback, std dev, total, std dev
0,36.14,16.378046281531873,2456.08,15603.94264260157,2492.22,17191.11916925713
1,226.76,35.486651011331006,2441.96,15539.63404197154,2668.7200000000003,17092.791095710498
2,298.86,35.102712145929694,2277.34,14929.695172521106,2576.2000000000003,15941.43864775071
3,499.24,38.94999871630293,2551.02,15950.924377590167,3050.26,17859.14808025288
4,428.0,35.61628840853578,2633.02,16265.922125093315,3061.02,18433.317140970586
5,669.32,52.597125396736274,2463.82,15606.516967843922,3133.1400000000003,17245.20299098854
6,801.88,71.67918526322687,2498.6,15733.935102192328,3300.48,17525.899018583896
7,926.08,68.27205577686965,2493.76,15712.065407908662,3419.84,17475.431616254864
8,863.78,57.19975174771303,2497.72,15736.109454423598,3361.5,17506.436364091922
9,1187.74,69.8157031046741,2324.24,15079.385075738332,3511.9799999999996,16288.998325851717
10,1318.44,73.50786624572909,2397.44,15355.983084335568,3715.88,16813.149370228053
11,1405.94,69.94609638857627,2437.72,15491.368958281251,3843.66,17068.191422186475
12,1569.14,71.06504344612756,2390.02,15321.423743882291,3959.16,16759.24561471667
13,1667.42,71.94139003383239,2427.1,15460.236100719807,4094.52,17022.332404509085
14,1770.62,65.78567929268496,2345.6,15153.065518237556,4116.219999999999,16451.6397435514
15,1820.2,65.30022970863119,2347.34,15155.971969636272,4167.54,16457.46048600452
16,1843.14,73.45175559508431,2306.04,14997.476622365495,4149.18,16176.391071793487
17,2014.2,74.10910875189366,2421.02,15419.633084467343,4435.22,16974.964909878312
18,2114.52,72.06614739251711,2501.28,15721.8419061381,4615.8,17538.152545807097
19,2209.38,73.19614470721802,2256.58,14829.198045868854,4465.96,15828.000154106645
20,2344.16,84.3026357832304,2371.66,15234.648588805707,4715.82,16634.778073289704
21,2408.62,77.45576544066941,2248.14,14785.166704518424,4656.76,15762.91781055779
22,2511.66,80.25748812416198,2444.32,15502.14302274365,4955.98,17127.182697092947
23,2613.96,75.7699043156318,2445.84,15513.010948697214,5059.8,17137.47390720114
24,2746.18,77.9532398300417,2408.34,15366.478910420556,5154.52,16884.0863433471
25,2847.14,79.52886520000145,2403.32,15341.531437819369,5250.46,16846.677367611694
26,2936.18,66.51757361780417,2319.4,15043.725706087565,5255.58,16251.331688314038
27,3034.92,68.1324709664929,2316.84,15031.069934452436,5351.76,16239.02076427024
28,3162.62,82.42230038041889,2310.1,14997.198625410007,5472.719999999999,16193.947628716107
29,3266.24,63.57753062206803,2271.24,14859.965867470883,5537.48,15925.464558674576
30,3356.28,79.02051379230585,2224.4,14687.456709723436,5580.68,15605.350749585863
31,3503.34,87.54921130427161,2334.8,15084.339154235431,5838.14,16354.068281635613
